,Company Name,Job Title,Location,Website URL
42,Energy Jobline,Data Scientist - Remote,"Newcastle Upon Tyne, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-remote-at-energy-jobline-3911445038?position=43&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=3jCcM2oqsnbEhpbUd80f5g%3D%3D&trk=public_jobs_jserp-result_search-card
43,Energy Jobline,Data Scientist - Remote,"Edinburgh, Scotland, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-remote-at-energy-jobline-3911437997?position=44&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=v%2Bon5EZJVCtbwPtcKST1TA%3D%3D&trk=public_jobs_jserp-result_search-card
44,Hunter Bond,Computer Science Graduate+1 year Python Developer : Elite Hedge Fund/Base/Bonus : London hydrid,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/computer-science-graduate%2B1-year-python-developer-elite-hedge-fund-base-bonus-london-hydrid-at-hunter-bond-3907625795?position=45&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Sugh%2BliABCLwc8huHKbMyQ%3D%3D&trk=public_jobs_jserp-result_search-card
45,Energy Jobline,Data Scientist - Remote,"Leeds, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-remote-at-energy-jobline-3911445680?position=46&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Tn%2Fb8EoPjpDbAkN%2BftHRLA%3D%3D&trk=public_jobs_jserp-result_search-card
46,DataCareers,Data Analyst,"West Midlands, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-datacareers-3909167857?position=47&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=kyX7yb64a3IvGyBNv6LGgA%3D%3D&trk=public_jobs_jserp-result_search-card
47,Stott and May,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-stott-and-may-3911829801?position=48&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=bPD5upb7duNdWvRULBdxYg%3D%3D&trk=public_jobs_jserp-result_search-card
48,Hunter Bond,Graduate Software Engineer - Up to £200k comp + Benefits - Hybrid Working,"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-software-engineer-up-to-%C2%A3200k-comp-%2B-benefits-hybrid-working-at-hunter-bond-3910024846?position=49&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=N61OvTM0KMYW3MqANcr0vw%3D%3D&trk=public_jobs_jserp-result_search-card
49,Deel,Data Scientist,United Kingdom,https://uk.linkedin.com/jobs/view/data-scientist-at-deel-3913502978?position=50&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Gl%2Bvb4LUG3WlYlCE87izHw%3D%3D&trk=public_jobs_jserp-result_search-card
50,the LEGO Group,"Data Analyst, Learning and Skills Development","London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-learning-and-skills-development-at-the-lego-group-3908614790?position=51&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=jXD2KS4a4Q%2FJjGqaSb5twQ%3D%3D&trk=public_jobs_jserp-result_search-card
51,Energy Jobline,Data Scientist - Remote,"Glasgow, Scotland, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-remote-at-energy-jobline-3911458700?position=52&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=Z5esjWI5u5yF%2F2gPaZY5Ow%3D%3D&trk=public_jobs_jserp-result_search-card
52,Bamboo Crowd,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-bamboo-crowd-3908880101?position=53&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=UByltHMYcVeQ9UNFFNX76Q%3D%3D&trk=public_jobs_jserp-result_search-card
53,Malaberg,Data Analyst,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-malaberg-3913351456?position=54&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=gq2QyjsQ3g8aFxEXTG%2FX8w%3D%3D&trk=public_jobs_jserp-result_search-card
54,Andretti Global,Python Developer,"Silverstone, England, United Kingdom",https://uk.linkedin.com/jobs/view/python-developer-at-andretti-global-3909679108?position=55&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=tjMUMscpQmpCAfDCvVRpfg%3D%3D&trk=public_jobs_jserp-result_search-card
55,Nestlé,Data Scientist,"Crawley, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-3888315393?position=56&pageNum=0&refId=y01c0%2FNnL5Xfno9b1leqeQ%3D%3D&trackingId=zTe4AP%2Bvo8aQ3CjpaJxxnw%3D%3D&trk=public_jobs_jserp-result_search-card
